index,name,price,number_of_comment,brand,size,type,weight(kg),comment
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Lồng máy khi giặt hơi rung lắc
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Giao nhanh máy tốt
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Máy tốt sấy hơi ồn
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,gửi hóa đơn chậm
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Máy chạy tốt
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,tốt
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Good
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Good
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Hài lòng
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Cực kì hài lòng
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Cực kì hài lòng
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Cực kì hài lòng
